# source	meet_id	div_id	n	c_pct	iqr_pct	z	already
tfrrs	15388	None	14	-11.45	6.48	-5.4	
tfrrs	51441	None	35	-10.32	8.15	-5.4	
tfrrs	36264	None	48	-8.26	3.40	-5.4	
anet	403810	2	36	+10.77	7.05	+5.4	
tfrrs	62948	None	100	-8.17	4.21	-5.4	
tfrrs	35571	None	14	-8.27	1.87	-5.4	
anet	282740	1	54	+10.72	8.54	+5.4	
tfrrs	63753	None	131	-8.30	5.98	-5.4	
tfrrs	50532	None	41	-8.58	4.41	-5.4	
anet	388686	1	24	-9.08	4.53	-5.4	
tfrrs	14187	None	23	-9.03	4.34	-5.4	
tfrrs	96229	None	21	-9.15	4.39	-5.4	
tfrrs	68695	None	96	-8.29	5.08	-5.4	
tfrrs	15784	None	207	-8.01	3.88	-5.4	
anet	84468	1	98	+10.93	12.12	+5.4	
tfrrs	49926	None	34	-8.35	3.25	-5.4	
anet	611233	1	41	+9.52	4.81	+5.4	
anet	340024	1	36	-9.24	5.98	-5.4	
anet	84845	1	89	+10.57	10.56	+5.4	
tfrrs	91846	None	65	-8.35	4.51	-5.4	
tfrrs	77572	None	109	-8.31	5.60	-5.4	
