# kind	source	meet_id	div_id	n	c_pct	iqr_pct	d_eff	seasons_flagged	seasons_total	already	proposed	decision	target
# decision <- KEEP/OVERRIDE/DROP/GENDER ; target <- metres or M/F
# c_pct = whole-field spike vs each runner's OWN bracket
DIV	anet	340920	1	15	+13.9	3.5	1430	na	na	-	INVESTIGATE		
DIV	tfrrs	77469	None	29	-12.2	7.2	1458	na	na	-	INVESTIGATE		
DIV	tfrrs	30012	None	41	-12.2	8.4	1449	na	na	-	INVESTIGATE		
DIV	anet	201601	2	14	-12.2	6.4	1841	na	na	-	INVESTIGATE		
DIV	anet	167829	1	53	-12.2	6.7	1821	na	na	-	INVESTIGATE		
DIV	tfrrs	14812	None	81	-12.2	6.3	1428	na	na	-	INVESTIGATE		
DIV	anet	283710	3	12	-12.2	68.0	1832	na	na	-	INVESTIGATE		
DIV	tfrrs	18974	None	12	-12.2	4.1	1037	na	na	-	INVESTIGATE		
DIV	tfrrs	77391	None	18	-12.2	7.9	1030	na	na	-	INVESTIGATE		
DIV	tfrrs	57990	None	15	-12.2	8.6	848	na	na	-	INVESTIGATE		
DIV	tfrrs	7380	None	43	-12.2	8.0	1430	na	na	-	INVESTIGATE		
DIV	tfrrs	6691	None	14	-12.2	13.3	1426	na	na	-	INVESTIGATE		
DIV	tfrrs	85040	None	29	-12.2	5.6	1428	na	na	-	INVESTIGATE		
DIV	tfrrs	55732	None	22	-12.2	6.4	1450	na	na	-	INVESTIGATE		
DIV	anet	246122	1	82	-12.2	5.6	1834	na	na	-	INVESTIGATE		
DIV	tfrrs	25023	None	15	-12.2	4.8	1436	na	na	-	INVESTIGATE		
DIV	tfrrs	66946	None	50	-12.1	5.5	662	na	na	-	INVESTIGATE		
DIV	anet	526794	2	36	-12.1	6.3	1817	na	na	-	INVESTIGATE		
DIV	tfrrs	13709	None	28	-12.1	6.4	1444	na	na	-	INVESTIGATE		
DIV	anet	281007	8	41	+13.8	8.3	1443	na	na	-	INVESTIGATE		
DIV	tfrrs	25687	None	15	-12.1	7.0	1436	na	na	-	INVESTIGATE		
DIV	tfrrs	40740	None	14	-12.1	10.9	1458	na	na	-	INVESTIGATE		
DIV	anet	342283	4	23	-12.1	6.9	2884	na	na	-	INVESTIGATE		
DIV	tfrrs	83752	None	29	-12.1	10.6	1428	na	na	-	INVESTIGATE		
DIV	anet	378977	1	13	-12.1	2.6	1830	na	na	-	INVESTIGATE		
DIV	anet	497793	1	145	-12.1	8.5	1831	na	na	-	INVESTIGATE		
DIV	tfrrs	47342	None	15	-12.1	7.7	839	na	na	-	INVESTIGATE		
DIV	anet	512798	1	55	+13.8	2.8	1410	na	na	-	INVESTIGATE		
DIV	tfrrs	44329	None	28	-12.1	5.3	1444	na	na	-	INVESTIGATE		
DIV	tfrrs	34649	None	38	-12.1	3.8	1448	na	na	-	INVESTIGATE		
DIV	tfrrs	55497	None	15	-12.1	3.7	1472	na	na	-	INVESTIGATE		
DIV	anet	284156	2	36	-12.1	9.0	655	na	na	-	INVESTIGATE		
DIV	tfrrs	44975	None	47	-12.1	5.2	1452	na	na	-	INVESTIGATE		
