# kind	source	meet_id	div_id	n	c_pct	iqr_pct	d_eff	seasons_flagged	seasons_total	already	proposed	decision	target
# decision <- KEEP/OVERRIDE/DROP/GENDER ; target <- metres or M/F
# c_pct = whole-field spike vs each runner's OWN bracket
DIV	anet	192935	778189	20	-35.5	6.1	2908	9	32	-	INVESTIGATE		
DIV	anet	83252	330419	17	-35.4	12.9	677	7	21	-	INVESTIGATE		
DIV	tfrrs	8475	1	80	-35.4	6.0	3985	na	na	OVERRIDE	REGRESSION		
DIV	anet	46613	199163	19	-35.4	6.3	841	2	18	-	INVESTIGATE		
DIV	tfrrs	7293	1	85	-35.4	4.2	6657	na	na	OVERRIDE	REGRESSION		
DIV	anet	235271	940956	19	-35.3	4.0	3103	2	10	-	INVESTIGATE		
DIV	anet	225342	909110	27	-35.3	5.7	2049	3	18	-	INVESTIGATE		
DIV	anet	100572	395257	20	-35.3	7.2	1434	1	7	-	INVESTIGATE		
DIV	anet	87967	349495	27	-35.3	3.3	3084	1	2	-	INVESTIGATE		
DIV	anet	136216	559617	19	-35.1	13.5	1748	1	22	-	INVESTIGATE		
DIV	anet	135864	557798	59	-35.1	6.3	1457	2	15	-	INVESTIGATE		
DIV	tfrrs	6891	1	102	-35.1	3.7	3992	na	na	OVERRIDE	REGRESSION		
DIV	tfrrs	26323	2	20	+54.0	7.9	8206	na	na	-	INVESTIGATE		
DIV	anet	134967	572357	75	-35.0	8.7	1435	2	6	-	INVESTIGATE		
DIV	anet	135864	567682	40	-34.9	6.6	1457	2	15	-	INVESTIGATE		
DIV	anet	57804	247511	12	-34.7	2.9	1830	1	14	-	INVESTIGATE		
DIV	tfrrs	26415	1	19	+53.2	12.0	8299	na	na	-	INVESTIGATE		
DIV	tfrrs	26074	0	23	+53.1	8.3	8206	na	na	-	INVESTIGATE		
DIV	anet	234730	939212	35	-34.6	3.4	5039	1	4	-	INVESTIGATE		
DIV	anet	227761	922850	50	-34.6	10.5	1840	2	5	-	INVESTIGATE		
DIV	anet	225606	901253	19	-34.6	8.5	2856	9	32	-	INVESTIGATE		
DIV	tfrrs	26074	1	32	+52.9	10.0	8299	na	na	-	INVESTIGATE		
DIV	anet	234730	939211	13	-34.6	6.6	5039	1	4	-	INVESTIGATE		
DIV	tfrrs	8465	1	62	-34.5	3.1	3985	na	na	OVERRIDE	REGRESSION		
DIV	anet	97735	389487	27	+52.7	5.8	2259	1	3	-	INVESTIGATE		
DIV	anet	224747	898052	97	-34.4	3.5	3097	1	21	-	INVESTIGATE		
DIV	anet	226027	902686	15	-34.4	8.5	1331	5	5	-	PERSISTENT		
DIV	tfrrs	8233	1	179	-34.4	3.6	3985	na	na	OVERRIDE	REGRESSION		
DIV	anet	174768	717175	26	-34.3	6.9	2861	9	32	-	INVESTIGATE		
DIV	tfrrs	10166	1	140	-34.3	3.6	3990	na	na	-	INVESTIGATE		
DIV	anet	103004	407110	12	+52.1	4.2	2875	5	36	-	INVESTIGATE		
DIV	tfrrs	6327	0	158	+52.0	62.5	8322	na	na	-	INVESTIGATE		
DIV	anet	208358	835014	13	-34.2	5.0	3135	4	23	-	INVESTIGATE		
DIV	anet	128518	522146	55	-34.2	2.9	5054	1	3	-	INVESTIGATE		
DIV	anet	243531	970371	16	-34.1	5.7	1439	2	2	-	INVESTIGATE		
DIV	tfrrs	26415	0	17	+51.8	6.1	8206	na	na	-	INVESTIGATE		
DIV	anet	153779	640252	21	-34.1	7.2	3122	3	20	-	INVESTIGATE		
DIV	anet	76680	304948	13	-34.1	8.4	1860	1	14	-	INVESTIGATE		
DIV	anet	247633	982613	53	+51.4	16.8	2875	10	35	-	INVESTIGATE		
DIV	anet	174682	716983	20	-33.9	8.2	2912	9	32	-	INVESTIGATE		
DIV	tfrrs	8504	1	15	-33.8	3.4	4176	na	na	OVERRIDE	REGRESSION		
DIV	anet	226196	911402	45	-33.7	3.7	3123	1	6	-	INVESTIGATE		
DIV	anet	239958	958443	20	-33.6	4.3	3087	2	14	-	INVESTIGATE		
DIV	anet	174763	717163	22	-33.6	8.2	2884	9	32	-	INVESTIGATE		
DIV	tfrrs	7880	1	21	-33.5	4.6	3985	na	na	OVERRIDE	REGRESSION		
DIV	anet	100693	395985	47	-33.5	4.3	3089	2	4	-	PERSISTENT		
DIV	tfrrs	25409	1	41	+50.2	12.3	8299	na	na	-	INVESTIGATE		
DIV	anet	48597	207278	25	-33.4	6.0	3098	2	14	-	INVESTIGATE		
DIV	anet	6252	30796	22	-33.2	6.7	1857	4	27	-	INVESTIGATE		
DIV	anet	207345	831449	21	-33.2	6.2	2874	9	32	-	INVESTIGATE		
DIV	anet	247121	989911	25	+49.6	6.0	3083	1	13	-	INVESTIGATE		
