# tfrrs_meet	score	runner	location_id	gps_lat	gps_long	anet_course_name	tfrrs_location_raw
20767	1.00	0.50	1796	44.885315	-93.74302	Crown College	Crown College 8700 College View Drive St Bonifacius, MN 55375
8719	1.00	0.67	5892	36.096203	-94.16504	University of AR XC course	St. Scholastica Fort Smith, AR 72903
20126	1.00	0.00	22472	38.362286	-75.58607	Salisbury Park	Salisbury Salisbury, MD
26824	1.00	0.50	41211	35.926884	-83.96533	Sequoyah Park	Sequoyah Hills Park Knoxville, TN
27299	1.00	0.67	10841	38.547935	-91.00932	Washington High School	Washington University Saint Louis, MO 63130
8136	1.00	0.00	21787	39.421665	-76.701294	Stevenson University	Stevenson University Stevenson, MD 21153
8121	1.00	0.50	47335	32.261063	-110.85135	Tucson Country Club	Dell Urich Golf Course Tucson, AZ 85719
25481	1.00	0.50	12738	28.488472	-82.46343	Nature Coast Technical High School	Nature Coast Technical High School 4057 California Street Brooksville, FL 34604
6773	1.00	0.50	10997	40.376152	-82.39579	Kenyon College	Kenyon College Gambier, OH 12345
10148	1.00	0.75	12517	38.975304	-76.48879	St. Mary's School - High School	Mount St. Mary's Emmitsburg, MD 21727
15661	1.00	0.50	8851	38.974674	-76.56562	Annapolis High School	Naval Academy Golf Course Annapolis, MD 21402
13702	1.00	0.67	18125	42.274506	-83.68174	Concordia University	Concordia University Ann Arbor 4090 Geddes Ave. Ann Arbor, MI 48198
15952	1.00	0.33	28496	35.636795	-81.22641	Southside Park	Southside Park Newton, NC 28645
20907	1.00	0.50	4762	27.05152	-80.14069	The Pine School	Pine School Stuart, FL
9085	1.00	0.50	6625	37.096844	-94.45502	Tom Rutledge Cross Country Course	MSSU Tom Rutledge XC Course Joplin, MO 63132
8659	1.00	0.50	3033	30.25445	-91.98911	Acadiana Park	Acadiana Park Lafayette, LA 70506
8853	1.00	0.50	7667	41.159893	-73.25755	Fairfield University	Fairfield University Fairfield, CT 06824
16088	1.00	0.50	10930	39.51374	-77.401726	Utica Park	Utica Park 10200-B Old Frederick Rd Frederick, MD
26936	1.00	0.00	7592	42.925426	-72.28034	Keene State College	Owl Athletic Complex 110 Krif Rd Keene, NH 03431
16407	1.00	0.33	48982	31.270977	-86.47399	22940 AL-55	Chocoolocco Park Oxford, AL 36203
9283	1.00	0.25	7640	40.912376	-73.12339	Stony Brook University	Stony Brook University Stony Brook, NY 11794
19182	1.00	0.50	38531	32.534424	-83.8961	Fort Valley State University	Fort Valley State University Fort Valley, GA 30066
16264	1.00	0.75	44067	40.44838	-79.924545	Chatham University	Chatham Eden Hall Campus Pittsburgh, PA
10138	1.00	0.75	12517	38.975304	-76.48879	St. Mary's School - High School	Mount St. Mary's Emmitsburg, MD 21727
9175	1.00	0.50	5980	39.17573	-86.50142	IU Championship XC Course	IU Varsity Cross Country Course Bloomington, IN 47408
10823	1.00	0.50	39373	39.942837	-82.890976	Columbus	Columbus State Community College Delaware, OH 43015
20422	1.00	0.50	1578	42.302826	-71.08769	Franklin Park	Franklin Park Boston, MA 02138
9112	1.00	0.50	7818	39.155285	-92.69356	Fayette Golf Course	Fayette, MO Fayette, MO 65248
8393	1.00	0.75	5819	37.68052	-121.005554	Davis Community Park	Putah Creek Reserve Davis, CA 95616
9339	1.00	0.50	2408	39.144947	-78.19719	Kernstown Battlefield	Kernstown Battlefield 610 Battle Park Drive Kernstown, VA 22601
16197	1.00	0.75	40682	35.610546	-105.21565	GENE TORRES GOLF COURSE	Gene Torres Golf Course Las Vegas, NM
21087	1.00	0.25	24434	28.007912	-81.91145	Holloway Park	Holloway Park Lakeland, FL 11111
21675	1.00	0.00	8521	42.753513	-71.4958	Nashua High School South	Mines Falls Mines Falls - Nashua, NH 03063
24067	1.00	0.50	5180	41.47181	-88.182076	Channahon Community Park	Channahon Park Channahon, IL 60410
9705	1.00	0.50	20405	30.440311	-97.80684	Spicewood Golf Course 	Spicewood Country Club Golf Course Austin, TX 78704
11200	1.00	0.50	8135	33.448376	-84.95075	McIntosh Reserve Park	McIntosh Reserve Park Whitesburg, GA 30066
14531	1.00	0.00	24716	38.322403	-96.1877	Emporia Golf Course	Emporia State Emporia, KS 66801
26595	1.00	0.50	43892	27.633774	-80.35194	South Beach Park	Pompano Municipal Pompano Beach, FL 33060
10135	1.00	0.75	12517	38.975304	-76.48879	St. Mary's School - High School	Mount St. Mary's Emmitsburg, MD 21727
10141	1.00	0.75	12517	38.975304	-76.48879	St. Mary's School - High School	Mount St. Mary's Emmitsburg, MD 21727
7715	1.00	0.50	24316	34.725616	-83.390396	Tallulah Falls Middle School	Tallulah Falls Farm Course Demorest, GA
